100 16138
100 14613
100 13570
100 13376
100 14578
200 75189
200 95015
200 61472
200 81954
200 92068
300 471520
300 309187
300 289923
300 322827
300 515719
400 692796
400 794623
400 714143
400 793885
400 752239
500 1353990
500 1331211
500 1620325
500 1460379
500 1127743
600 2235555
600 1885027
600 1941819
600 1991984
600 2025504
700 3376427
700 3363947
700 3372443
700 3499862
700 3184272
800 4067373
800 4044101
800 4039354
800 3656999
800 3687207
900 5515344
900 5271399
900 5841200
900 6234053
900 4854297
1000 7009870
1000 7001943
1000 6668122
1000 7461631
1000 6563098
