10 100.00 76.00 100.00 100.00
10 100.00 57.00 86.00 100.00
10 100.00 93.00 100.00 100.00
10 100.00 63.00 100.00 100.00
10 100.00 82.00 95.00 100.00
10 100.00 87.00 100.00 100.00
10 100.00 76.00 100.00 100.00
10 100.00 81.00 100.00 100.00
10 100.00 100.00 100.00 100.00
10 100.00 74.00 100.00 100.00
20 100.00 78.00 98.00 100.00
20 100.00 73.00 88.00 100.00
20 100.00 93.00 100.00 100.00
20 100.00 94.00 100.00 100.00
20 100.00 72.00 76.00 100.00
20 100.00 88.00 100.00 100.00
20 100.00 95.00 81.00 100.00
20 100.00 90.00 100.00 100.00
20 100.00 64.00 100.00 100.00
20 100.00 94.00 97.00 100.00
30 100.00 65.00 100.00 100.00
30 100.00 66.00 76.00 84.00
30 100.00 94.00 100.00 100.00
30 100.00 79.00 95.00 100.00
30 100.00 93.00 100.00 100.00
30 100.00 65.00 100.00 100.00
30 100.00 80.00 87.00 100.00
30 100.00 81.00 79.00 100.00
30 100.00 95.00 97.00 100.00
30 100.00 78.00 80.00 100.00
40 100.00 72.00 78.00 100.00
40 100.00 64.00 100.00 100.00
40 100.00 98.00 100.00 100.00
40 100.00 71.00 90.00 100.00
40 100.00 85.00 100.00 100.00
40 100.00 63.00 72.00 100.00
40 100.00 72.00 66.00 100.00
40 100.00 85.00 90.00 90.00
40 100.00 68.00 86.00 100.00
40 100.00 95.00 93.00 94.00
50 100.00 76.00 96.00 96.00
50 100.00 74.00 68.00 88.00
50 100.00 63.00 74.00 100.00
50 100.00 76.00 95.00 100.00
50 100.00 68.00 68.00 84.00
50 100.00 74.00 89.00 100.00
50 100.00 61.00 100.00 100.00
50 100.00 74.00 97.00 100.00
50 100.00 85.00 96.00 100.00
50 100.00 74.00 74.00 76.00
60 100.00 75.00 100.00 100.00
60 100.00 60.00 96.00 96.00
60 100.00 65.00 92.00 92.00
60 100.00 76.00 90.00 97.00
60 100.00 73.00 82.00 88.00
60 100.00 75.00 93.00 100.00
60 100.00 80.00 77.00 100.00
60 100.00 82.00 83.00 91.00
60 100.00 69.00 86.00 89.00
60 100.00 96.00 70.00 89.00
70 100.00 74.00 86.00 98.00
70 100.00 77.00 67.00 73.00
70 100.00 59.00 70.00 83.00
70 100.00 62.00 95.00 100.00
70 100.00 77.00 100.00 100.00
70 100.00 70.00 60.00 82.00
70 100.00 58.00 54.00 81.00
70 100.00 80.00 59.00 82.00
70 100.00 46.00 69.00 81.00
70 100.00 73.00 83.00 94.00
80 100.00 66.00 92.00 100.00
80 100.00 72.00 70.00 85.00
80 100.00 76.00 60.00 85.00
80 100.00 78.00 85.00 98.00
80 100.00 81.00 99.00 99.00
80 100.00 74.00 71.00 82.00
80 100.00 83.00 55.00 100.00
80 100.00 80.00 88.00 88.00
80 100.00 59.00 83.00 95.00
80 100.00 66.00 80.00 80.00
90 100.00 75.00 76.00 89.00
90 100.00 52.00 93.00 93.00
90 100.00 71.00 80.00 87.00
90 100.00 70.00 91.00 91.00
90 100.00 66.00 69.00 86.00
90 100.00 61.00 75.00 91.00
90 100.00 58.00 72.00 91.00
90 100.00 53.00 68.00 83.00
90 100.00 74.00 79.00 88.00
90 100.00 60.00 71.00 93.00
100 100.00 64.00 77.00 95.00
100 100.00 68.00 95.00 95.00
100 100.00 40.00 67.00 96.00
100 100.00 59.00 88.00 94.00
100 100.00 97.00 84.00 87.00
100 100.00 72.00 90.00 100.00
100 100.00 58.00 78.00 96.00
100 100.00 62.00 66.00 85.00
100 100.00 56.00 81.00 92.00
100 100.00 67.00 89.00 95.00
