20 16616.8 6429.46
40 69226.6 18705.4
60 192136 20972
80 356585 47252.4
100 665636 175277
120 999015 193572
140 1.70291e+06 167066
160 2.16915e+06 175296
180 2.99141e+06 271330
200 4.12655e+06 391280
