10 508 65 407 12706
10 449 42 442 10273
10 1852 69 384 13840
10 553 48 587 12286
10 565 68 1310 21518
20 3613 278 1536 105437
20 5972 354 1458 104094
20 3813 254 1420 144442
20 6502 288 1658 121380
20 20285 279 2657 166746
30 49537 511 6979 417294
30 46259 581 6737 350907
30 48137 503 5352 381150
30 27962 870 5929 371249
30 27222 711 6990 467872
40 277228 857 13392 781995
40 285150 1695 15481 844426
40 311744 1425 14002 956641
40 277932 1464 21149 1071780
40 188999 1414 25500 978879
50 1020518 2047 33766 1685538
50 887551 2158 13001 1156189
50 1416074 1445 17719 1507305
50 1215633 2394 69860 1395374
50 1059745 1779 17511 1760568
60 4770189 3524 51163 3628071
60 4071022 1965 25366 2169450
60 4539842 2102 20952 2502518
60 3863834 2666 23138 2416090
60 4343409 4466 56578 3019584
70 14090299 3392 30691 2914273
70 13034727 5254 50884 5021530
70 13615375 9198 41555 3716618
70 15094907 3952 40310 4418059
70 13178019 4900 38781 3975148
80 41825937 6095 60255 5560343
80 33197485 5576 41704 4836619
80 36248238 7350 80550 5903577
80 35905393 6705 65408 6023977
80 35000558 6688 114820 5879105
90 121845532 7502 83313 7382689
90 112116401 9208 64789 7718991
90 105979178 8704 76455 7054151
90 100034745 10232 97778 9578463
90 124963985 11160 67492 7724736
100 288356595 9542 111754 10946276
100 263314040 12158 148408 11755133
100 267987888 11092 115246 11145125
100 275809864 27627 155990 12629569
100 280459846 9347 128645 14349605
