x y
10 717
10 707
10 748
10 760
10 737
20 18042
20 17792
20 17754
20 19375
20 18226
30 65609
30 82008
30 91725
30 81074
30 79406
40 364404
40 364545
40 419444
40 395538
40 421634
50 1318113
50 1181478
50 1082007
50 1339727
50 1083972
60 3224168
60 3667543
60 3864523
60 3730925
60 3713346
70 9768883
70 11591026
70 10929080
70 10382672
70 13314792
80 28871953
80 29143746
80 28421932
80 24153809
80 24996809
90 61460123
90 77265860
90 67259769
90 86476159
90 58903078
100 149286243
100 131580844
100 108995303
100 162186627
100 140481951
