100 29359
100 29446
100 40715
100 52327
100 48218
200 213745
200 243820
200 229615
200 216629
200 164009
300 528770
300 571067
300 784041
300 913895
300 1333213
400 852075
400 1426101
400 1261887
400 3025849
400 2046065
500 3150503
500 2356174
500 2786958
500 2876607
500 3339437
600 6242753
600 4995986
600 3247029
600 4385038
600 3824444
700 6253179
700 5579084
700 7579225
700 4718785
700 5760681
800 12954187
800 4941402
800 8737182
800 8657112
800 12514039
900 16761962
900 6923485
900 9747085
900 10186825
900 8903383
1000 16728876
1000 9001776
1000 13628803
1000 16268591
1000 13028897
