20 153818
20 124498
20 133530
20 180622
20 97779
40 800100
40 1100946
40 797240
40 692476
40 1002572
60 2788844
60 2674118
60 2423256
60 2941530
60 2405528
80 6945346
80 4240289
80 4761187
80 3863193
80 6855585
100 11420699
100 12703429
100 12625157
100 9492349
100 7590711
120 17833684
120 16168286
120 20994451
120 19408321
120 20801777
140 30738678
140 50939565
140 44373213
140 34095479
140 24751843
160 45291424
160 54340116
160 35824868
160 40203975
160 37590550
180 66108273
180 55250741
180 43522972
180 52264175
180 75444405
200 120165755
200 110669540
200 101817781
200 115426004
200 85205978
